DEFLECTION,PSF,compactness,number of room, average room area,occlusivity,visible area,mean radial
7.510699,26.341179,0.018795,2,412.34,4686.551919,335550.66072,311.020765
9.347802,25.447878,0.018157,3,271.026667,4874.717833,334149.826376,310.326299
10.264399,27.505402,0.017904,3,253.24,4942.003647,333633.217229,310.065842
8.864307,27.983139,0.018763,4,224.98,4691.254278,335471.732882,310.980004
7.141409,25.328884,0.017967,3,253.106667,4930.925489,332844.821434,309.337797
10.207901,25.095946,0.050585,1,823.24,4198.845969,333622.481242,262.396251
8.272864,26.843178,0.018223,2,432.34,4860.930611,335042.338945,311.055941
8.977952,25.27016,0.018244,4,200.04,4845.145018,334037.361507,310.13598
9.889884,27.091186,0.018029,2,401.24,4920.953491,334435.098621,310.720125
10.25753,25.151377,0.017776,1,798.8,4983.491689,332601.145103,309.273099
9.620043,26.560932,0.018459,4,189.99,4809.919921,334796.572533,310.710036
9.923679,25.153057,0.018123,2,405.22,4873.165783,334465.309572,310.58891
8.249168,26.889874,0.018668,3,242.24,4721.231307,335507.002751,311.081359
8.621964,25.725849,0.017827,3,252.506667,4975.660886,333043.27218,309.622589
10.203025,26.085564,0.017902,3,269.506667,4938.521879,333094.909692,309.59327
8.235563,28.367067,0.018749,4,201.28,4685.906359,334193.275311,309.8634
10.277229,25.487723,0.018258,2,434.62,4835.842524,334722.023626,310.716337
8.102636,26.147609,0.018128,3,261.773333,4884.428442,334343.429976,310.504046
9.821894,25.384061,0.018695,6,118.04,4710.721035,334237.314221,309.934717
10.290185,26.078144,0.01878,3,278.706667,4683.70719,335821.769798,311.255507
9.192459,26.433021,0.018003,2,421.54,4907.424876,333567.201068,309.918115
8.970503,27.142417,0.018581,3,282.36,4771.807745,333668.297594,309.626008
9.694357,27.234969,0.018627,1,920.32,4746.924336,334989.748675,310.702609
9.890578,27.018427,0.019041,3,251.493333,4620.501964,336240.954368,311.452549
9.308865,25.46845,0.557377,3,276.96,4133.357396,334626.740298,263.437553
8.434718,25.689799,0.017949,3,274.773333,4931.784757,333942.144266,310.309416
8.774472,26.285386,0.311118,3,268.573333,4286.264852,334008.705374,260.798888
8.624222,27.249103,0.017257,4,200.79,5162.650088,332575.038186,309.750619
9.961434,26.052777,0.018551,1,836.04,4758.457553,335076.425351,310.811816
8.51401,25.117491,0.018196,4,195.59,4847.039593,333015.422693,309.285648
9.588424,27.473139,0.280769,1,847.44,3905.560824,336901.867141,265.237343
9.980523,26.668257,0.017985,2,406.72,4900.080389,333298.292729,309.663818
8.131134,26.028368,0.018394,3,248.906667,4795.284202,333915.010584,309.9108
9.455992,27.230742,0.018188,1,880.4,4866.050986,334005.955291,310.186375
8.125608,26.121992,0.018139,3,253.173333,4875.976745,334074.360096,310.248302
7.958409,27.47726,0.017839,4,196.24,4967.201267,332819.349164,309.416839
9.805497,25.131498,0.026591,3,270.36,4721.152544,333518.718249,297.632388
9.542636,27.279907,0.018073,4,204.53,4885.663536,334174.26965,310.408482
9.159653,25.454055,0.018076,2,404.58,4885.996841,332413.176491,308.853898
10.523564,27.939143,0.017615,4,210.24,5028.819588,332691.825617,309.500303
8.269577,27.400917,0.019628,2,410.22,4460.901961,337608.401067,312.194489
9.077546,27.439796,0.018515,1,930.72,4758.917816,334577.922261,310.378224
7.997881,24.849379,0.018029,1,802.04,4903.082201,333705.692293,310.015784
8.93306,26.641911,0.018692,1,908.16,4698.66829,334390.444452,310.071098
10.274924,26.058327,0.018489,4,191.29,4789.584526,334089.058619,310.058352
